Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec,Condition
0804_04_,110,0804_04_110,0.364861979,154.5,25.30520585,299.9455702,-18.4136912,0 mM,5.15,-39.59933591,-3.959933591,2.353948252,dark
0804_04_,110,0804_04_110,0.125772131,155.5,25.51958257,300.0489509,-18.5170719,0 mM,5.183333333,-39.82166,-3.982166,0.811433103,dark
0804_04_,110,0804_04_110,0.435728522,156.5,25.77510745,300.1322651,-18.6003861,0 mM,5.216666667,-40.00083032,-4.000083032,2.811151755,dark
0804_04_,110,0804_04_110,0.311642128,157.5,26.1322412,300.1036403,-18.5717613,0 mM,5.25,-39.93927161,-3.993927161,2.010594374,dark
0804_04_,110,0804_04_110,0.154633973,158.5,26.23302474,300.1051147,-18.5732357,0 mM,5.283333333,-39.94244237,-3.994244237,0.997638535,dark
0804_04_,110,0804_04_110,0.219322092,159.5,26.29032548,300.2183281,-18.6864491,0 mM,5.316666667,-40.18591204,-4.018591204,1.414981239,dark
0804_04_,110,0804_04_110,0.053354039,160.5,26.39628572,300.2405559,-18.7086769,0 mM,5.35,-40.23371376,-4.023371376,0.344219606,dark
0804_04_,110,0804_04_110,0.948476873,161.5,26.85294084,300.3665161,-18.8346371,0 mM,5.383333333,-40.50459591,-4.050459591,6.119205632,dark
0804_04_,110,0804_04_110,0.187896164,162.5,27.26232438,300.4331096,-18.9012306,0 mM,5.416666667,-40.64780774,-4.064780774,1.212233316,dark
0804_04_,110,0804_04_110,0.204135294,163.5,27.14591771,300.4157211,-18.8838421,0 mM,5.45,-40.61041312,-4.061041312,1.317001897,dark
0804_04_,110,0804_04_110,0.456012795,164.5,27.26824476,300.5950613,-19.0631823,0 mM,5.483333333,-40.99609097,-4.099609097,2.942018032,dark
0804_04_,110,0804_04_110,0.176477546,165.5,27.43843856,300.6232824,-19.0914034,0 mM,5.516666667,-41.05678151,-4.105678151,1.138564813,dark
0804_04_,110,0804_04_110,0.536234386,166.5,27.67752783,300.5553819,-19.0235029,0 mM,5.55,-40.91075892,-4.091075892,3.459576684,dark
0804_04_,110,0804_04_110,0.406696486,167.5,28.06404957,300.7359603,-19.2040813,0 mM,5.583333333,-41.29909957,-4.129909957,2.623848297,dark
0804_04_,110,0804_04_110,0.218250028,168.5,28.20768716,300.7946809,-19.2628019,0 mM,5.616666667,-41.42538043,-4.142538043,1.408064697,dark
0804_04_,110,0804_04_110,0.174667205,169.5,28.25908077,300.7715863,-19.2397073,0 mM,5.65,-41.37571462,-4.137571462,1.126885194,dark
0804_04_,110,0804_04_110,0.274407203,170.5,28.39490584,300.9378186,-19.4059396,0 mM,5.683333333,-41.73320344,-4.173320344,1.770369052,dark
0804_04_,110,0804_04_110,0.325417798,171.5,28.66675475,301.0256855,-19.4938065,0 mM,5.716666667,-41.92216452,-4.192216452,2.099469665,dark
