frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa
31,0.984193,1.043856,1.099578,1.040517,0.992983,0.854571,1.062489,0.947376,1.043788,1.053882,1.033158,1.018271,1.093274,0.993316,1.010143,0.985206,0.994954,1.007818,0.919864,1.13613,0.962399,0.954904,1.035179,1.019287,1.018048,1.055668,1.033624,1.041571,1.011438,0.936445,0.992201,0.987268,1.021303,0.958239,0.970368,1.005866,0.995138,1.012949,1.085917,1.044028,0.973487,1.111221,1.043145,1.009516,1.020386,1.050426,0.974696,1.010657,1.004808,1.014047,0.985385,1.002421,1.015323,0.98889,0.999814
32,0.978708,1.072109,1.100303,1.024462,0.984189,0.867669,1.037537,0.946536,1.041624,1.027787,1.027104,1.039981,1.086118,0.990622,0.993057,0.984318,0.990151,1.010398,0.931078,1.076706,0.954932,0.955238,1.031855,1.008129,1.016072,1.063355,1.018899,1.033517,1.024192,0.94434,0.997564,0.992074,1.021363,0.966296,0.979754,1.011357,0.992166,1.008649,1.065958,1.047425,0.997098,1.112703,1.023637,0.987992,1.016223,1.070852,0.967101,1.015566,0.994125,1.01394,0.997654,0.98387,1.018856,0.988476,0.99009
33,0.969617,1.101487,1.092955,1.021868,0.985237,0.857834,1.029277,0.924616,1.043089,1.041713,1.022197,1.027509,1.079165,0.994002,0.998128,0.986461,1.010801,0.99955,0.928316,1.054081,0.967697,0.970918,1.033804,0.996769,1.009024,1.049885,1.023509,1.033406,1.011585,0.950407,1.00126,0.987136,1.015598,0.979749,0.966267,1.020561,0.993958,1.006702,1.075517,1.04311,0.983227,1.108915,1.036361,0.998244,1.023605,1.023785,0.968721,0.994184,1.003357,1.012139,0.95095,1.002946,0.999659,0.991253,1.003117
34,0.976036,1.113583,1.095798,0.998569,0.968561,0.869889,1.033472,0.951832,1.021445,1.033969,1.016739,1.021916,1.05159,0.985361,1.003907,0.984698,1.017992,0.993465,0.946246,1.043659,0.970956,0.974586,1.02591,0.993073,1.01872,1.050355,1.012485,1.021454,1.016189,0.946221,0.997803,1.001873,1.019482,1.016229,0.979434,1.009984,0.985882,1.003718,1.075517,1.049427,1.010871,1.119099,1.037794,0.989635,1.006137,1.04912,0.950184,1.017112,1.006387,0.967938,0.949341,0.99755,1.025922,0.990603,1.028008
35,0.963587,1.084727,1.103743,1.000045,0.968333,0.896706,1.012844,0.971715,1.032067,1.044337,1.026233,1.017626,1.034639,0.984318,1.015867,0.988925,1.006408,1.003373,0.959534,1.029189,0.993093,0.977154,1.018634,0.995885,1.026726,1.045113,1.003466,1.027549,1.012206,0.951811,0.992451,1.005259,1.016569,0.999818,0.968734,1.010078,0.998678,1.003136,1.089206,1.043715,0.980275,1.098046,1.002065,0.992353,1.003433,1.065018,0.955943,1.018154,1.009858,0.978897,0.977229,0.987049,1.015238,0.99084,1.020145
36,0.957844,1.080435,1.092697,1.004248,0.956395,0.909204,1.005449,0.965274,1.02867,1.040281,1.017611,0.985512,1.015403,0.983531,1.008913,0.991751,1.012722,0.997222,0.973702,0.926316,0.998278,0.98327,1.013908,1.000869,1.022876,1.058771,1.002417,1.020992,1.011256,0.950751,0.991733,1.014112,1.014096,1.010366,0.943939,1.010608,0.984489,1.005362,1.08326,1.04607,0.977324,1.094587,1.039943,0.990201,1.032146,1.032978,0.963574,1.022962,1.014638,0.992129,0.980313,0.971211,1.008555,0.992967,1.034893
37,0.960606,1.068223,1.086929,1.007066,0.961999,0.885073,1.020974,0.959546,1.026406,1.030108,1.00798,0.973362,1.011707,0.987758,1.017391,0.993157,0.999384,1.002619,0.96291,0.922188,0.998197,0.984377,1.011915,1.006057,1.014687,1.052588,0.994836,1.016552,1.011658,0.957877,0.992826,1.013999,1.010712,1.009003,0.948584,1.014134,1.015611,0.995979,1.039403,1.048426,0.996655,1.071915,0.985337,1.005551,1.010172,1.028694,0.974624,1.028677,1.025535,1.003217,0.964536,0.988304,1.004299,0.999823,1.031637
38,0.961192,1.055911,1.077673,0.989804,0.944822,0.880367,1.009298,0.969704,1.020812,1.025357,1.033479,0.988178,1.008822,0.987944,1.015356,0.992755,0.995327,1.01811,0.976294,0.953313,1.00328,0.985739,0.997406,1.0192,1.011102,1.045442,0.989531,1.02521,1.006797,0.957401,0.987235,1.019977,1.015385,0.985081,0.960053,1.011638,0.989721,0.999393,1.045444,1.049135,1.020413,1.046251,1.002402,0.982724,1.013734,1.051854,0.971924,1.009682,1.048068,0.989148,0.971777,0.982003,0.997318,0.969092,1.028287
39,0.943726,1.037175,1.07229,0.983498,0.959858,0.913955,1.0096,0.968507,1.00929,1.02321,1.008209,1.011424,0.994147,0.990613,1.012776,0.99188,0.994628,1.029831,0.975089,0.974036,1.004941,0.986598,1.001932,1.027721,1.012059,1.03578,0.996734,1.02591,1.00212,0.945876,1.003499,1.012107,1.021136,0.979619,0.950923,1.019812,1.001365,0.994006,1.050434,1.03646,1.017167,1.05712,1.014368,0.992353,1.012232,1.018876,0.963718,1.003362,1.015492,0.97879,0.961162,0.975265,0.999532,1.001123,1.047502
40,0.966071,1.047866,1.067575,1.001252,0.961726,0.903632,1.007784,0.968075,1.032233,1.022624,1.007384,1.027392,0.976502,0.990901,1.016945,0.987153,1.002668,1.039502,0.984663,1.028413,1.014476,0.995445,1.009078,1.041096,0.998085,1.030467,0.994706,1.025878,1.003399,0.965375,0.99925,1.002705,1.031393,1.010249,0.968125,1.009578,1.005687,1.001897,1.034719,1.032166,1.004427,1.067386,1.047906,0.982385,1.030043,1.025335,0.955547,1.015868,1.007141,0.978082,0.96762,0.978766,0.998681,1.024939,1.042477
