frame,stimuli,DAF-FM,SE,SE_upper,SE_lower
52,NC,0.989252512,0.005398564,0.994651076,0.983853948
53,NC,0.990194181,0.005465236,0.995659418,0.984728945
54,NC,1.004064224,0.005608369,1.009672593,0.998455855
55,NC,0.988004261,0.007593317,0.995597579,0.980410944
56,NC,0.987354529,0.002093323,0.989447852,0.985261206
57,NC,0.985241011,0.001002031,0.986243042,0.984238979
58,NC,0.986898796,0.004465942,0.991364738,0.982432854
59,NC,0.987916841,0.008795581,0.996712422,0.97912126
60,NC,0.996614676,0.009721118,1.006335794,0.986893558
61,NC,0.991072602,0.005606327,0.996678928,0.985466275
62,NC,0.992789579,0.003260093,0.996049673,0.989529486
63,NC,0.996908434,0.005074308,1.001982742,0.991834125
64,NC,0.986104226,0.008448832,0.994553058,0.977655393
65,NC,0.989581886,0.007471146,0.997053031,0.98211074
66,NC,0.993044721,0.003461248,0.996505969,0.989583473
67,NC,0.990354425,0.006512875,0.9968673,0.98384155
68,NC,0.989558966,0.004914169,0.994473135,0.984644797
69,NC,0.99794185,0.008783634,1.006725484,0.989158216
70,NC,0.9796656,0.004616511,0.984282111,0.975049088
71,NC,0.992051108,0.008965606,1.001016714,0.983085501
72,NC,0.980232279,0.004339275,0.984571555,0.975893004
73,NC,0.991759999,0.007775655,0.999535654,0.983984344
74,NC,0.975904828,0.008221681,0.984126509,0.967683147
75,NC,0.983359783,0.007444598,0.990804381,0.975915185
76,NC,0.992990601,0.004466763,0.997457364,0.988523837
77,NC,0.981720237,0.006439909,0.988160146,0.975280329
78,NC,0.98332334,0.008044608,0.991367947,0.975278732
79,NC,0.978938249,0.005150165,0.984088414,0.973788084
80,NC,0.982391388,0.016137871,0.998529259,0.966253517
81,NC,0.979951073,0.006542168,0.986493241,0.973408905
82,NC,0.99084806,0.006526786,0.997374846,0.984321273
83,NC,0.983334407,0.00499572,0.988330128,0.978338687
84,NC,0.974106714,0.006934218,0.981040932,0.967172497
85,NC,0.977564492,0.008023998,0.98558849,0.969540494
86,NC,0.968362071,0.008320066,0.976682138,0.960042005
87,NC,0.982159422,0.010133669,0.992293091,0.972025753
88,NC,0.96646027,0.002126823,0.968587093,0.964333447
89,NC,0.972306549,0.009251021,0.98155757,0.963055528
90,NC,0.969115965,0.009943699,0.979059663,0.959172266
91,NC,0.964414679,0.011384892,0.975799572,0.953029787
92,NC,0.975741005,0.009384875,0.98512588,0.96635613
93,NC,0.969931105,0.007020185,0.97695129,0.96291092
94,NC,0.971913939,0.006943388,0.978857327,0.964970551
95,NC,0.954420802,0.005627939,0.96004874,0.948792863
96,NC,0.970878612,0.009808085,0.980686698,0.961070527
97,NC,0.963272633,0.011234766,0.974507399,0.952037867
98,NC,0.960929191,0.008856142,0.969785333,0.952073049
99,NC,0.955515397,0.011024986,0.966540383,0.94449041
100,NC,0.965197385,0.002374263,0.967571648,0.962823121
101,NC,0.954731927,0.010268137,0.965000065,0.94446379
102,NC,0.965324873,0.005175971,0.970500844,0.960148902
103,NC,0.969593804,0.015587327,0.985181131,0.954006478
104,NC,0.974563296,0.003924923,0.97848822,0.970638373
105,NC,0.970017782,0.010679674,0.980697456,0.959338109
106,NC,0.965815404,0.005591767,0.971407172,0.960223637
107,NC,0.956529154,0.006082407,0.962611561,0.950446747
108,NC,0.979232973,0.013892632,0.993125606,0.965340341
109,NC,0.960436011,0.01118351,0.971619521,0.949252501
110,NC,0.959757437,0.010965701,0.970723138,0.948791736
111,NC,0.951955436,0.010210868,0.962166304,0.941744567
112,NC,0.95126769,0.013751815,0.965019506,0.937515875
113,NC,0.958495161,0.007969692,0.966464853,0.950525469
114,NC,0.948213509,0.010522664,0.958736173,0.937690845
115,NC,0.94509714,0.009815478,0.954912618,0.935281661
116,NC,0.959067906,0.011502577,0.970570483,0.94756533
117,NC,0.967023505,0.014553502,0.981577007,0.952470003
118,NC,0.940352111,0.010500258,0.950852369,0.929851853
119,NC,0.958040622,0.013971396,0.972012018,0.944069227
120,NC,0.950181371,0.012976701,0.963158072,0.93720467
121,NC,0.953388916,0.007188947,0.960577863,0.946199969
122,NC,0.944605678,0.009154995,0.953760673,0.935450683
123,NC,0.945848526,0.011209903,0.957058429,0.934638623
124,NC,0.94464786,0.009674597,0.954322457,0.934973263
125,NC,0.946518108,0.014245948,0.960764056,0.93227216
126,NC,0.952234671,0.013826544,0.966061215,0.938408127
127,NC,0.945588393,0.008352808,0.953941201,0.937235584
128,NC,0.936657318,0.011513104,0.948170423,0.925144214
129,NC,0.936101361,0.01619056,0.952291921,0.919910801
130,NC,0.944499253,0.01488774,0.959386994,0.929611513
131,NC,0.937965895,0.004206327,0.942172221,0.933759568
132,NC,0.929306707,0.006848307,0.936155014,0.9224584
133,NC,0.940583023,0.018417228,0.959000251,0.922165794
134,NC,0.932504602,0.007594191,0.940098793,0.924910411
135,NC,0.934271726,0.008255415,0.942527141,0.926016311
136,NC,0.922196919,0.011174828,0.933371746,0.911022091
137,NC,0.934077821,0.013914112,0.947991933,0.920163709
138,NC,0.939566988,0.005576467,0.945143455,0.933990521
139,NC,0.916637295,0.014017722,0.930655017,0.902619573
140,NC,0.935121481,0.016693526,0.951815006,0.918427955
141,NC,0.926963164,0.00914156,0.936104724,0.917821605
142,NC,0.939306504,0.013719977,0.953026482,0.925586527
143,NC,0.939974432,0.019284224,0.959258656,0.920690209
144,NC,0.933237244,0.017419476,0.950656721,0.915817768
145,NC,0.915811117,0.009936042,0.92574716,0.905875075
146,NC,0.929421672,0.013786054,0.943207726,0.915635618
147,NC,0.929813873,0.011232233,0.941046107,0.91858164
148,NC,0.934652727,0.00725518,0.941907907,0.927397547
149,NC,0.932941859,0.005476671,0.938418529,0.927465188
150,NC,0.927214439,0.01710318,0.944317619,0.910111259
151,NC,0.929578106,0.010431928,0.940010034,0.919146178
152,NC,0.936154159,0.011721772,0.947875931,0.924432387
153,NC,0.927230893,0.014115089,0.941345981,0.913115804
154,NC,0.919794791,0.005117157,0.924911948,0.914677634
155,NC,0.928399849,0.013705424,0.942105273,0.914694425
156,NC,0.940718232,0.016165086,0.956883318,0.924553147
157,NC,0.932492415,0.022310197,0.954802612,0.910182217
158,NC,0.929870465,0.01992308,0.949793545,0.909947385
159,NC,0.909256458,0.010995078,0.920251535,0.89826138
160,NC,0.926446373,0.009996947,0.93644332,0.916449426
161,NC,0.923832276,0.011381679,0.935213955,0.912450597
162,NC,0.919865402,0.016322251,0.936187652,0.903543151
163,NC,0.926008772,0.013850965,0.939859737,0.912157808
164,NC,0.921931528,0.014714574,0.936646102,0.907216955
165,NC,0.927253474,0.013878905,0.941132379,0.913374569
166,NC,0.919811511,0.012680574,0.932492085,0.907130937
167,NC,0.919286396,0.01250075,0.931787146,0.906785647
168,NC,0.91653945,0.01279791,0.92933736,0.90374154
169,NC,0.934011119,0.01567117,0.949682289,0.918339949
170,NC,0.929338303,0.020072636,0.949410938,0.909265667
171,NC,0.916975138,0.012902288,0.929877426,0.90407285
172,NC,0.919976916,0.012320611,0.932297527,0.907656304
173,NC,0.925951703,0.010779116,0.93673082,0.915172587
174,NC,0.908026506,0.015674085,0.923700591,0.892352422
175,NC,0.928365979,0.011843243,0.940209222,0.916522736
176,NC,0.912895734,0.01156434,0.924460074,0.901331394
177,NC,0.914364186,0.018035611,0.932399797,0.896328576
178,NC,0.917430752,0.017958298,0.93538905,0.899472453
179,NC,0.919860049,0.01820752,0.938067568,0.901652529
180,NC,0.911419911,0.017075788,0.928495699,0.894344123
181,NC,0.906943506,0.012493107,0.919436613,0.894450399
182,NC,0.906579515,0.010850034,0.917429549,0.895729481
183,NC,0.93030564,0.024438704,0.954744344,0.905866936
184,NC,0.910403725,0.017477571,0.927881296,0.892926154
185,NC,0.90577709,0.017425014,0.923202104,0.888352076
186,NC,0.914799646,0.019063518,0.933863164,0.895736129
187,NC,0.909772453,0.02393385,0.933706303,0.885838603
188,NC,0.902106573,0.019179227,0.921285799,0.882927346
189,NC,0.910675502,0.014944068,0.92561957,0.895731434
190,NC,0.920295108,0.015765737,0.936060845,0.904529371
191,NC,0.912905122,0.016747555,0.929652677,0.896157568
192,NC,0.906083733,0.013831441,0.919915174,0.892252292
193,NC,0.908867579,0.012218966,0.921086546,0.896648613
194,NC,0.902016099,0.017086714,0.919102812,0.884929385
195,NC,0.901476051,0.019562002,0.921038053,0.881914049
196,NC,0.906630139,0.018523343,0.925153481,0.888106796
197,NC,0.909594386,0.016204678,0.925799064,0.893389709
198,NC,0.911788367,0.021918718,0.933707085,0.889869649
199,NC,0.904649596,0.019403646,0.924053242,0.88524595
200,NC,0.909321819,0.023043848,0.932365667,0.886277971
