non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2
0.94435,0.93586,1.18285,0.94081,1.00819,0.99200,0.96268,1.14555,1.01902,1.03514,1.05447,0.99979,1.01396,0.99849,1.00130,1.00603,0.96431,0.92365,1.10230,0.99639,1.04559,0.94824,0.98296,1.02761,1.07089,1.06403,1.00997,1.01855,0.98086,0.94250,1.01018,1.03999,1.03737,1.01106,1.01900,1.02937,0.99195,1.01070,0.99997,0.86486,1.00867,0.99675,0.98305,1.01414
0.95398,0.92128,1.18552,0.93200,1.01303,1.00062,0.96274,1.11405,1.00697,1.02160,1.04355,1.00349,1.01279,1.00260,1.01203,1.01708,0.95363,0.92313,1.10612,0.99491,1.03634,0.94705,0.97046,1.03254,1.05777,1.05279,0.99548,1.01638,1.00725,0.94404,1.00062,1.03268,1.02291,1.00505,1.01718,1.03807,1.00463,0.98905,1.00944,0.88076,1.01188,0.98967,0.97171,1.00532
0.94542,0.90642,1.17795,0.93351,1.01121,1.00401,0.95384,1.12881,1.00425,1.02558,1.01843,1.00350,1.00689,0.99699,1.01815,1.01707,0.95210,0.91847,1.09149,1.00030,1.04502,0.96358,0.96461,1.03817,1.05045,1.04500,1.00401,1.00481,0.99338,0.95287,0.99294,1.02871,1.01907,1.00107,1.02113,1.02542,0.98372,1.02018,1.02121,0.88719,0.99452,1.00441,1.00579,1.05745
0.93612,0.91690,1.16875,0.93980,1.00672,0.98575,0.93846,1.10058,0.99748,1.02591,1.01638,1.00038,1.00671,0.99271,1.01791,1.00533,0.95641,0.94039,1.09313,1.00448,1.05205,0.95462,0.97664,1.02171,1.04872,1.04523,1.01029,1.01110,1.00308,0.96126,0.99387,1.02333,1.01606,1.00073,1.01398,1.03204,0.98383,1.01622,0.99988,0.91563,1.00726,0.99827,1.01850,1.04563
0.94843,0.93991,1.14045,0.94320,0.98767,0.97440,0.92690,1.09263,0.98811,1.01600,1.02090,0.99252,1.01715,1.00257,1.00430,0.99753,0.95312,0.94595,1.08990,1.00580,1.01729,0.94263,0.97521,1.02234,1.04890,1.04141,0.99802,1.00864,0.99232,0.97654,0.98947,1.00756,1.01059,0.99971,1.00463,1.04574,1.00988,1.01123,1.02379,0.90359,1.00238,0.99371,1.01685,1.03379
0.97736,0.95928,1.10394,0.94474,0.99031,0.96372,0.90957,1.28777,0.99476,1.02115,1.01977,1.00203,1.00602,0.99961,0.99097,0.98516,0.96111,0.94707,1.08963,1.01102,1.02288,0.96135,0.98588,1.04022,1.04265,1.04879,1.00012,1.00328,0.99847,1.00478,0.99647,1.00236,0.99568,1.00489,1.00335,1.02802,1.00267,1.00388,1.02729,0.93492,0.99290,0.97053,1.02199,1.00871
0.99222,0.98078,1.09057,0.93774,0.98813,0.95536,0.90874,1.38329,1.00508,1.00544,1.02037,0.99342,0.99803,0.99942,0.99497,0.98305,0.97001,0.95786,1.08528,0.99293,1.02075,0.95539,0.98143,1.03746,1.04308,1.04233,0.99427,1.00754,0.99986,0.99010,0.98567,0.98978,1.00310,1.00331,1.00359,1.02717,1.00991,1.01479,1.02217,0.94845,1.00034,0.99132,1.01412,1.00480
1.01985,1.01458,1.06584,0.92370,0.98803,0.95364,0.89878,1.17845,1.00036,1.01845,1.01561,0.99533,1.00251,0.99779,0.99155,0.98102,0.96841,0.96570,1.08212,1.01926,1.01180,0.95977,0.97630,1.05055,1.03373,1.03490,0.99578,0.99823,1.00110,0.99216,0.98087,1.00714,0.99678,1.01617,1.00846,1.01907,1.00346,1.00711,1.00662,0.95885,1.00817,0.98616,1.01792,1.00100
1.03865,1.02555,1.05669,0.92513,0.99284,0.96685,0.90629,1.11524,1.00213,1.03011,1.01209,0.98861,0.99566,0.99806,0.99400,0.97534,0.97831,0.97214,1.08607,1.03956,1.00727,0.94821,0.98473,1.05701,1.03583,1.02061,0.99129,1.01814,0.98222,1.01209,0.99466,1.00341,1.00046,1.02817,1.00899,1.01778,0.98227,1.01344,1.00953,0.95994,0.99540,0.96841,1.00636,0.98480
1.02037,1.02105,1.05449,0.92198,0.99053,0.97278,0.92438,1.00847,1.00621,1.02078,1.01815,0.98819,1.00090,0.98462,1.00419,0.99528,0.98119,0.98234,1.08284,1.05713,0.99931,0.96758,0.98499,1.05644,1.03150,1.02087,0.99679,1.02237,1.00788,1.00499,0.98380,0.99978,0.99864,1.00630,1.02113,1.03293,0.98878,1.00139,1.01255,0.97494,1.00029,0.97735,1.01259,0.99357
