expression,solution,cell,time,intensity
GcG-NIT1,DMSO,A,0.4,1.005942624
GcG-NIT1,DMSO,A,0.6,1.004127361
GcG-NIT1,DMSO,A,0.8,1.004778332
GcG-NIT1,DMSO,A,1,0.995596483
GcG-NIT1,DMSO,A,1.2,0.993941539
GcG-NIT1,DMSO,A,1.4,0.999027901
GcG-NIT1,DMSO,A,1.6,0.996474393
GcG-NIT1,DMSO,A,1.8,0.999194768
GcG-NIT1,DMSO,A,2,0.993942295
GcG-NIT1,DMSO,A,2.2,0.986578731
GcG-NIT1,DMSO,A,2.4,0.989474411
GcG-NIT1,DMSO,A,2.6,0.992995245
GcG-NIT1,DMSO,A,2.8,0.983731411
GcG-NIT1,DMSO,A,3,0.991445081
GcG-NIT1,DMSO,A,3.2,0.996592271
GcG-NIT1,DMSO,A,3.4,0.996745033
GcG-NIT1,DMSO,A,3.6,0.993537658
GcG-NIT1,DMSO,A,3.8,0.991499738
GcG-NIT1,DMSO,A,4,0.997952395
GcG-NIT1,DMSO,A,4.2,1.001248557
GcG-NIT1,DMSO,A,4.4,0.997706314
GcG-NIT1,DMSO,A,4.6,0.999923191
GcG-NIT1,DMSO,A,4.8,0.989829681
GcG-NIT1,DMSO,A,5,0.99054022
GcG-NIT1,DMSO,A,5.2,0.993911188
GcG-NIT1,DMSO,A,5.4,0.991212222
GcG-NIT1,DMSO,A,5.6,0.991924399
GcG-NIT1,DMSO,A,5.8,0.99157127
GcG-NIT1,DMSO,A,6,0.988093633
GcG-NIT1,DMSO,A,6.2,0.991331863
GcG-NIT1,DMSO,A,6.4,0.989246842
GcG-NIT1,DMSO,A,6.6,0.989142188
GcG-NIT1,DMSO,A,6.8,0.993823536
GcG-NIT1,DMSO,A,7,0.995672927
GcG-NIT1,DMSO,A,7.2,0.995164644
GcG-NIT1,DMSO,A,7.4,0.996984062
GcG-NIT1,DMSO,A,7.6,0.997164908
GcG-NIT1,DMSO,A,7.8,1.000994541
GcG-NIT1,DMSO,A,8,0.999830627
GcG-NIT1,DMSO,A,8.2,0.998220894
GcG-NIT1,DMSO,A,8.4,0.997913733
GcG-NIT1,DMSO,A,8.6,1.005938594
