frame,stimuli,sample,intencity
132,cPRC,c1-2,0.969270926
133,cPRC,c1-2,1.089221095
134,cPRC,c1-2,0.887761761
135,cPRC,c1-2,1.028830753
136,cPRC,c1-2,0.944533428
137,cPRC,c1-2,1.015008602
138,cPRC,c1-2,1.045025805
139,cPRC,c1-2,0.92679599
140,cPRC,c1-2,0.941389334
141,cPRC,c1-2,0.921456961
142,cPRC,c1-2,1.022008661
143,cPRC,c1-2,0.929880762
144,cPRC,c1-2,1.005754286
145,cPRC,c1-2,1.031322299
146,cPRC,c1-2,1.020288308
147,cPRC,c1-2,1.031856202
148,cPRC,c1-2,0.958058967
149,cPRC,c1-2,1.093610963
150,cPRC,c1-2,0.982915109
151,cPRC,c1-2,1.070356528
152,cPRC,c1-2,0.998101679
153,cPRC,c1-2,1.013288248
154,cPRC,c1-2,1.10078899
155,cPRC,c1-2,1.033635878
156,cPRC,c1-2,1.093670285
157,cPRC,c1-2,1.029127365
158,cPRC,c1-2,1.016195053
159,cPRC,c1-2,1.034585039
160,cPRC,c1-2,1.036542683
161,cPRC,c1-2,1.045619031
162,cPRC,c1-2,1.035890135
163,cPRC,c1-2,0.973660794
164,cPRC,c1-2,1.044254612
165,cPRC,c1-2,0.989262621
166,cPRC,c1-2,0.936109628
167,cPRC,c1-2,1.103221214
168,cPRC,c1-2,0.985050721
169,cPRC,c1-2,1.024203595
170,cPRC,c1-2,0.986593107
171,cPRC,c1-2,1.035830812
172,cPRC,c1-2,1.055763184
173,cPRC,c1-2,1.049771608
174,cPRC,c1-2,0.924660378
175,cPRC,c1-2,0.988135493
176,cPRC,c1-2,0.930177374
177,cPRC,c1-2,0.903244943
178,cPRC,c1-2,0.889066856
179,cPRC,c1-2,0.981194756
180,cPRC,c1-2,1.032568073
181,cPRC,c1-2,0.995906745
182,cPRC,c1-2,1.077059975
183,cPRC,c1-2,1.030907042
184,cPRC,c1-2,1.048466512
185,cPRC,c1-2,1.047458029
186,cPRC,c1-2,0.947914813
187,cPRC,c1-2,1.029898558
188,cPRC,c1-2,0.980720176
189,cPRC,c1-2,1.013644183
190,cPRC,c1-2,1.054280121
191,cPRC,c1-2,1.017856084
192,cPRC,c1-2,1.069644658
193,cPRC,c1-2,0.980186273
194,cPRC,c1-2,0.934389274
195,cPRC,c1-2,1.049890253
196,cPRC,c1-2,0.956101323
197,cPRC,c1-2,0.96820312
198,cPRC,c1-2,1.054695379
199,cPRC,c1-2,1.043661387
200,cPRC,c1-2,0.975262502
1,cPRC,c2,1.047099508
2,cPRC,c2,1.038210511
3,cPRC,c2,1.030734012
4,cPRC,c2,1.031927329
5,cPRC,c2,1.025132726
6,cPRC,c2,1.025132726
7,cPRC,c2,1.024182943
8,cPRC,c2,1.017924115
9,cPRC,c2,1.020408163
10,cPRC,c2,1.017899761
11,cPRC,c2,1.022624324
12,cPRC,c2,1.016852564
13,cPRC,c2,1.013905801
14,cPRC,c2,1.018094589
15,cPRC,c2,1.012931664
16,cPRC,c2,1.018094589
17,cPRC,c2,1.01931226
18,cPRC,c2,1.014441576
19,cPRC,c2,1.014587697
20,cPRC,c2,1.013857094
21,cPRC,c2,1.016341143
22,cPRC,c2,1.010204082
23,cPRC,c2,1.016195022
24,cPRC,c2,1.012468949
25,cPRC,c2,1.013784034
26,cPRC,c2,1.011640933
27,cPRC,c2,1.006892017
28,cPRC,c2,1.00669719
29,cPRC,c2,1.010934684
30,cPRC,c2,1.005406459
31,cPRC,c2,1.005576932
32,cPRC,c2,1.004164434
33,cPRC,c2,1.006015294
34,cPRC,c2,1.009449126
35,cPRC,c2,1.001339438
36,cPRC,c2,1.010374556
37,cPRC,c2,1.004724563
38,cPRC,c2,1.007062491
39,cPRC,c2,1.005820467
40,cPRC,c2,0.999780819
41,cPRC,c2,1.005041157
42,cPRC,c2,0.999391165
43,cPRC,c2,1.006258828
44,cPRC,c2,1.004529736
45,cPRC,c2,1.00207004
46,cPRC,c2,1.001802153
47,cPRC,c2,0.999220691
48,cPRC,c2,1.000194827
49,cPRC,c2,1.001193317
50,cPRC,c2,1
51,cPRC,c2,1.002654522
52,cPRC,c2,1.000803663
53,cPRC,c2,1.021698894
54,cPRC,c2,1.024694365
55,cPRC,c2,1.028201257
56,cPRC,c2,1.030758365
57,cPRC,c2,1.026837465
58,cPRC,c2,1.030441771
59,cPRC,c2,1.027592421
60,cPRC,c2,1.03022259
61,cPRC,c2,1.031391554
62,cPRC,c2,1.026715698
63,cPRC,c2,1.032487458
64,cPRC,c2,1.031415908
65,cPRC,c2,1.037041547
66,cPRC,c2,1.03599435
67,cPRC,c2,1.026204276
68,cPRC,c2,1.030368711
69,cPRC,c2,1.032292631
70,cPRC,c2,1.031342847
71,cPRC,c2,1.030660952
72,cPRC,c2,1.03207345
73,cPRC,c2,1.033778189
74,cPRC,c2,1.030807072
75,cPRC,c2,1.030003409
76,cPRC,c2,1.029662462
77,cPRC,c2,1.032828406
78,cPRC,c2,1.032877113
79,cPRC,c2,1.033607715
80,cPRC,c2,1.0310019
81,cPRC,c2,1.034411378
82,cPRC,c2,1.032463105
83,cPRC,c2,1.030052116
84,cPRC,c2,1.030125177
85,cPRC,c2,1.028371731
86,cPRC,c2,1.035872583
87,cPRC,c2,1.035166334
88,cPRC,c2,1.032438751
89,cPRC,c2,1.031245434
90,cPRC,c2,1.029370221
91,cPRC,c2,1.0292241
92,cPRC,c2,1.02615557
93,cPRC,c2,1.022283376
94,cPRC,c2,1.02615557
95,cPRC,c2,1.01860601
96,cPRC,c2,1.016974331
97,cPRC,c2,1.019848035
98,cPRC,c2,1.018313769
99,cPRC,c2,1.015659247
100,cPRC,c2,1.016097608
101,cPRC,c2,1.010301495
102,cPRC,c2,1.010739857
103,cPRC,c2,1.014222395
104,cPRC,c2,1.012444596
105,cPRC,c2,1.012566363
106,cPRC,c2,1.016048902
107,cPRC,c2,1.010496323
108,cPRC,c2,1.011178218
109,cPRC,c2,1.012736837
110,cPRC,c2,1.01154352
111,cPRC,c2,1.008913351
112,cPRC,c2,1.006331888
113,cPRC,c2,1.007525206
114,cPRC,c2,1.00292241
115,cPRC,c2,1.00299547
116,cPRC,c2,1.006185768
117,cPRC,c2,1.004870683
118,cPRC,c2,1.004407968
119,cPRC,c2,1.003287711
120,cPRC,c2,1.002313575
121,cPRC,c2,1.001534265
122,cPRC,c2,1.008036628
123,cPRC,c2,0.997540305
124,cPRC,c2,1.005893527
125,cPRC,c2,1.000414008
126,cPRC,c2,0.999512932
127,cPRC,c2,1.000438362
128,cPRC,c2,0.994910136
129,cPRC,c2,0.998660562
130,cPRC,c2,0.996322634
131,cPRC,c2,0.996566168
132,cPRC,c2,0.99500755
133,cPRC,c2,0.999293751
134,cPRC,c2,1.00491939
135,cPRC,c2,0.994885782
136,cPRC,c2,0.994520481
137,cPRC,c2,0.995104963
138,cPRC,c2,0.995348497
139,cPRC,c2,0.997296771
140,cPRC,c2,0.995494618
141,cPRC,c2,0.99722371
142,cPRC,c2,0.996322634
143,cPRC,c2,0.991987726
144,cPRC,c2,0.994739662
145,cPRC,c2,0.993278457
146,cPRC,c2,0.990039453
147,cPRC,c2,0.991622425
148,cPRC,c2,0.990599581
149,cPRC,c2,0.990404754
150,cPRC,c2,0.988773075
151,cPRC,c2,0.990794408
152,cPRC,c2,0.994569188
153,cPRC,c2,0.994057766
154,cPRC,c2,0.991525011
155,cPRC,c2,0.988651308
156,cPRC,c2,0.992669622
157,cPRC,c2,0.986897862
158,cPRC,c2,0.989138376
159,cPRC,c2,0.99330281
160,cPRC,c2,0.989430617
161,cPRC,c2,0.987652818
162,cPRC,c2,0.990891822
163,cPRC,c2,0.988773075
164,cPRC,c2,0.990015099
165,cPRC,c2,0.988480834
166,cPRC,c2,0.989430617
167,cPRC,c2,0.990843115
168,cPRC,c2,0.990672641
169,cPRC,c2,0.984900882
170,cPRC,c2,0.984632994
171,cPRC,c2,0.986995275
172,cPRC,c2,0.98631338
173,cPRC,c2,0.988286007
174,cPRC,c2,0.986703034
175,cPRC,c2,0.986800448
176,cPRC,c2,0.98068774
177,cPRC,c2,0.991817252
178,cPRC,c2,0.983439677
179,cPRC,c2,0.984779115
180,cPRC,c2,0.989040962
181,cPRC,c2,0.988042472
182,cPRC,c2,0.983634504
183,cPRC,c2,0.986094199
184,cPRC,c2,0.982952608
185,cPRC,c2,0.988432127
186,cPRC,c2,0.993375871
187,cPRC,c2,0.985168769
188,cPRC,c2,0.985168769
189,cPRC,c2,0.982562954
190,cPRC,c2,0.982928255
191,cPRC,c2,0.980736447
192,cPRC,c2,0.988139886
193,cPRC,c2,0.980955628
194,cPRC,c2,0.985047002
195,cPRC,c2,0.988407774
196,cPRC,c2,0.984681701
197,cPRC,c2,0.987092689
198,cPRC,c2,0.983512737
199,cPRC,c2,0.982075885
200,cPRC,c2,0.954994886
1,cPRC,d1,0.949369206
2,cPRC,d1,0.99392444
3,cPRC,d1,0.965758854
4,cPRC,d1,0.989530433
5,cPRC,d1,1.021035465
6,cPRC,d1,1.006491301
7,cPRC,d1,0.989574373
8,cPRC,d1,1.035315988
9,cPRC,d1,0.98175304
10,cPRC,d1,1.019102102
11,cPRC,d1,1.058428466
12,cPRC,d1,1.050035913
13,cPRC,d1,1.001042732
14,cPRC,d1,0.970768022
15,cPRC,d1,1.005304919
16,cPRC,d1,0.992650178
17,cPRC,d1,0.962067887
18,cPRC,d1,1.004909458
19,cPRC,d1,1.020683944
20,cPRC,d1,1.036019029
21,cPRC,d1,0.938735709
22,cPRC,d1,1.013389892
23,cPRC,d1,0.983290942
24,cPRC,d1,1.058911807
25,cPRC,d1,1.050826834
26,cPRC,d1,1.037073591
27,cPRC,d1,1.028461337
28,cPRC,d1,1.010797428
29,cPRC,d1,0.991463796
30,cPRC,d1,0.953148053
31,cPRC,d1,0.973052906
32,cPRC,d1,1.0058322
33,cPRC,d1,0.958772382
34,cPRC,d1,1.01198381
35,cPRC,d1,1.039578175
36,cPRC,d1,0.992430478
37,cPRC,d1,0.941328173
38,cPRC,d1,1.014532334
39,cPRC,d1,1.0421267
40,cPRC,d1,1.000954852
41,cPRC,d1,1.015542956
42,cPRC,d1,0.967077056
43,cPRC,d1,0.999548769
44,cPRC,d1,1.010577727
45,cPRC,d1,1.02397945
46,cPRC,d1,0.953807154
47,cPRC,d1,0.986366748
48,cPRC,d1,0.997966927
49,cPRC,d1,0.964484591
50,cPRC,d1,1.028285577
51,cPRC,d1,1.020947585
52,cPRC,d1,1.089538038
53,cPRC,d1,1.062339133
54,cPRC,d1,1.083825828
55,cPRC,d1,1.116033901
56,cPRC,d1,1.12715074
57,cPRC,d1,1.076883297
58,cPRC,d1,1.100259415
59,cPRC,d1,1.129347743
60,cPRC,d1,1.158655772
61,cPRC,d1,1.128073481
62,cPRC,d1,1.143320686
63,cPRC,d1,1.130402305
64,cPRC,d1,1.177462123
65,cPRC,d1,1.118011205
66,cPRC,d1,1.172760535
67,cPRC,d1,1.139717601
68,cPRC,d1,1.135279653
69,cPRC,d1,1.183218272
70,cPRC,d1,1.178780325
71,cPRC,d1,1.197454856
72,cPRC,d1,1.170036251
73,cPRC,d1,1.195038152
74,cPRC,d1,1.189677463
75,cPRC,d1,1.183086452
76,cPRC,d1,1.178648505
77,cPRC,d1,1.168761988
78,cPRC,d1,1.20009126
79,cPRC,d1,1.221050675
80,cPRC,d1,1.229179588
81,cPRC,d1,1.183525853
82,cPRC,d1,1.193500249
83,cPRC,d1,1.176451501
84,cPRC,d1,1.182734932
85,cPRC,d1,1.195741193
86,cPRC,d1,1.172496895
87,cPRC,d1,1.143408567
88,cPRC,d1,1.220567334
89,cPRC,d1,1.224609821
90,cPRC,d1,1.20022308
91,cPRC,d1,1.159095173
92,cPRC,d1,1.182383411
93,cPRC,d1,1.182251591
94,cPRC,d1,1.216173327
95,cPRC,d1,1.203079185
96,cPRC,d1,1.194335111
