frame,stimuli,sample,intensity
62,cPRC,larva_6,1.131572597
62,cPRC,larva_7,1.052109639
62,cPRC,larva_8,1.070922489
62,cPRC,larva_9,1.015120285
62,cPRC,larva_10,1.245084351
62,cPRC,larva_11,1.072834424
63,cPRC,larva_1,1.202882764
63,cPRC,larva_2,1.084060034
63,cPRC,larva_3,1.032487458
63,cPRC,larva_4,1.130402305
63,cPRC,larva_5,1.09986292
63,cPRC,larva_6,1.134291583
63,cPRC,larva_7,1.049840605
63,cPRC,larva_8,1.116891275
63,cPRC,larva_9,1.062925134
63,cPRC,larva_10,1.266783013
63,cPRC,larva_11,1.05377284
64,cPRC,larva_1,1.199752804
64,cPRC,larva_2,1.062822566
64,cPRC,larva_3,1.031415908
64,cPRC,larva_4,1.177462123
64,cPRC,larva_5,1.102462133
64,cPRC,larva_6,1.055613645
64,cPRC,larva_7,1.080163145
64,cPRC,larva_8,1.026516041
64,cPRC,larva_9,1.04564262
64,cPRC,larva_10,1.21716114
64,cPRC,larva_11,1.071960298
65,cPRC,larva_1,1.128986364
65,cPRC,larva_2,1.012220443
65,cPRC,larva_3,1.037041547
65,cPRC,larva_4,1.118011205
65,cPRC,larva_5,1.0688418690000001
65,cPRC,larva_6,1.055095743
65,cPRC,larva_7,1.028284786
65,cPRC,larva_8,1.062089272
65,cPRC,larva_9,1.068618593
65,cPRC,larva_10,1.272193136
65,cPRC,larva_11,1.044383036
66,cPRC,larva_1,1.170751768
66,cPRC,larva_2,1.095924542
66,cPRC,larva_3,1.03599435
66,cPRC,larva_4,1.172760535
66,cPRC,larva_5,1.029345122
66,cPRC,larva_6,1.060404238
66,cPRC,larva_7,1.014979997
66,cPRC,larva_8,1.033306202
66,cPRC,larva_9,1.026978852
66,cPRC,larva_10,1.275974404
66,cPRC,larva_11,1.068153621
67,cPRC,larva_1,1.202051369
67,cPRC,larva_2,1.079610844
67,cPRC,larva_3,1.026204276
67,cPRC,larva_4,1.139717601
67,cPRC,larva_5,1.051833971
67,cPRC,larva_6,1.099462677
67,cPRC,larva_7,1.109694962
67,cPRC,larva_8,1.039014744
67,cPRC,larva_9,1.095670949
67,cPRC,larva_10,1.254741129
67,cPRC,larva_11,1.084874803
68,cPRC,larva_1,1.141652921
68,cPRC,larva_2,1.135848609
68,cPRC,larva_3,1.030368711
68,cPRC,larva_4,1.135279653
68,cPRC,larva_5,1.114045586
68,cPRC,larva_6,1.086601445
68,cPRC,larva_7,1.051972122
68,cPRC,larva_8,1.056560999
68,cPRC,larva_9,1.051504525
68,cPRC,larva_10,1.277312391
68,cPRC,larva_11,1.070071058
69,cPRC,larva_1,1.155346496
69,cPRC,larva_2,1.110873821
69,cPRC,larva_3,1.032292631
69,cPRC,larva_4,1.183218272
69,cPRC,larva_5,1.120317601
69,cPRC,larva_6,1.125789359
69,cPRC,larva_7,1.082947868
69,cPRC,larva_8,1.060346664
69,cPRC,larva_9,1.044227677
