frame,genotype,sample,intensity
12,NOS11_Ser-h1,30,0.968842461
12,NOS11_Ser-h1,31,0.949348355
12,NOS11_Ser-h1,32,1.04059319
12,NOS11_Ser-h1,33,1.106867517
12,NOS11_Ser-h1,34,0.995730997
12,NOS11_Ser-h1,35,0.953810063
12,NOS11_Ser-h1,36,1.042152292
12,NOS11_Ser-h1,37,1.10875496
12,NOS11_Ser-h1,38,0.929727897
12,NOS11_Ser-h1,39,0.978703618
13,WT_Ser-h1,2,1.028632303
13,WT_Ser-h1,3,0.989629866
13,WT_Ser-h1,4,0.992285273
13,WT_Ser-h1,5,0.982844209
13,WT_Ser-h1,6,1.140199367
13,WT_Ser-h1,7,1.003732329
13,WT_Ser-h1,8,0.807686853
13,WT_Ser-h1,9,0.82761641
13,WT_Ser-h1,10,1.397423754
13,WT_Ser-h1,11,1.529819752
13,WT_Ser-h1,12,1.598447855
13,WT_Ser-h1,13,0.936455112
13,WT_Ser-h1,14,0.80052232
13,WT_Ser-h1,15,0.802487147
13,WT_Ser-h1,16,0.978047813
13,WT_Ser-h1,17,0.614969987
13,WT_Ser-h1,18,0.983212696
13,WT_Ser-h1,19,0.908043882
13,WT_Ser-h1,20,0.877445837
13,WT_Ser-h1,21,1.149659864
13,WT_Ser-h1,22,1.149864296
13,WT_Ser-h1,23,0.992235584
13,WT_Ser-h1,24,1.309219696
13,WT_Ser-h1,25,1.20582475
13,NOS11_Ser-h1,26,0.942018937
13,NOS11_Ser-h1,27,0.896539996
13,NOS11_Ser-h1,28,1.003871393
13,NOS11_Ser-h1,29,1.069903903
13,NOS11_Ser-h1,30,0.977477205
13,NOS11_Ser-h1,31,0.965627536
13,NOS11_Ser-h1,32,1.048113196
13,NOS11_Ser-h1,33,1.100436992
13,NOS11_Ser-h1,34,1.000304929
13,NOS11_Ser-h1,35,0.938197703
13,NOS11_Ser-h1,36,1.063131313
13,NOS11_Ser-h1,37,1.112475198
13,NOS11_Ser-h1,38,0.920742562
13,NOS11_Ser-h1,39,0.963991444
14,WT_Ser-h1,2,1.038126566
14,WT_Ser-h1,3,0.984141672
14,WT_Ser-h1,4,1.016886679
14,WT_Ser-h1,5,0.993646956
14,WT_Ser-h1,6,1.153403278
14,WT_Ser-h1,7,0.993328049
14,WT_Ser-h1,8,0.812508864
14,WT_Ser-h1,9,0.83346519
14,WT_Ser-h1,10,1.452784618
14,WT_Ser-h1,11,1.52903065
14,WT_Ser-h1,12,1.525549355
14,WT_Ser-h1,13,0.970987824
14,WT_Ser-h1,14,0.814361101
14,WT_Ser-h1,15,0.801549257
14,WT_Ser-h1,16,0.968360526
14,WT_Ser-h1,17,0.628904814
14,WT_Ser-h1,18,0.981343664
14,WT_Ser-h1,19,0.857382367
14,WT_Ser-h1,20,0.827757546
14,WT_Ser-h1,21,1.150815043
14,WT_Ser-h1,22,1.15033631
14,WT_Ser-h1,23,0.965012783
14,WT_Ser-h1,24,1.285102251
14,WT_Ser-h1,25,1.241148042
14,NOS11_Ser-h1,26,0.954454005
14,NOS11_Ser-h1,27,0.89558146
14,NOS11_Ser-h1,28,1.005408967
14,NOS11_Ser-h1,29,1.062873827
14,NOS11_Ser-h1,30,0.985296782
14,NOS11_Ser-h1,31,0.997899461
14,NOS11_Ser-h1,32,1.047581353
14,NOS11_Ser-h1,33,1.097168437
14,NOS11_Ser-h1,34,1.000304929
14,NOS11_Ser-h1,35,0.944210753
14,NOS11_Ser-h1,36,1.051398601
14,NOS11_Ser-h1,37,1.082217262
14,NOS11_Ser-h1,38,0.897143342
14,NOS11_Ser-h1,39,0.908490654
15,WT_Ser-h1,2,1.008223376
15,WT_Ser-h1,3,0.995692406
15,WT_Ser-h1,4,1.026701526
15,WT_Ser-h1,5,1.003137941
15,WT_Ser-h1,6,1.141983679
15,WT_Ser-h1,7,0.992733518
15,WT_Ser-h1,8,0.799780173
15,WT_Ser-h1,9,0.832080696
15,WT_Ser-h1,10,1.447480583
15,WT_Ser-h1,11,1.481933715
15,WT_Ser-h1,12,1.516393443
15,WT_Ser-h1,13,0.95861556
15,WT_Ser-h1,14,0.797291476
15,WT_Ser-h1,15,0.7975198
15,WT_Ser-h1,16,0.960769318
15,WT_Ser-h1,17,0.66346625
15,WT_Ser-h1,18,0.956978285
15,WT_Ser-h1,19,0.83864854
15,WT_Ser-h1,20,0.792914018
15,WT_Ser-h1,21,1.09237154
15,WT_Ser-h1,22,1.113558589
15,WT_Ser-h1,23,0.9893476
15,WT_Ser-h1,24,1.238741003
15,WT_Ser-h1,25,1.227678131
15,NOS11_Ser-h1,26,0.926753583
15,NOS11_Ser-h1,27,0.922204013
15,NOS11_Ser-h1,28,1.005848274
15,NOS11_Ser-h1,29,1.062562009
15,NOS11_Ser-h1,30,1.018567719
15,NOS11_Ser-h1,31,0.984198215
15,NOS11_Ser-h1,32,1.022188965
15,NOS11_Ser-h1,33,1.068000142
15,NOS11_Ser-h1,34,0.991489716
15,NOS11_Ser-h1,35,0.992584803
15,NOS11_Ser-h1,36,1.053885004
15,NOS11_Ser-h1,37,1.06547619
15,NOS11_Ser-h1,38,0.923777231
15,NOS11_Ser-h1,39,0.932297963
16,WT_Ser-h1,2,1.04567712
16,WT_Ser-h1,3,0.982450542
16,WT_Ser-h1,4,1.029101663
16,WT_Ser-h1,5,0.999665629
16,WT_Ser-h1,6,1.139033616
16,WT_Ser-h1,7,0.989265425
16,WT_Ser-h1,8,0.822152886
16,WT_Ser-h1,9,0.830357143
16,WT_Ser-h1,10,1.38132222
16,WT_Ser-h1,11,1.510382922
16,WT_Ser-h1,12,1.522148587
16,WT_Ser-h1,13,0.991034025
16,WT_Ser-h1,14,0.782591137
16,WT_Ser-h1,15,0.779387245
16,WT_Ser-h1,16,0.992777022
16,WT_Ser-h1,17,0.653558741
16,WT_Ser-h1,18,0.978964896
16,WT_Ser-h1,19,0.841163392
16,WT_Ser-h1,20,0.788593297
16,WT_Ser-h1,21,1.075471698
16,WT_Ser-h1,22,1.082327027
16,WT_Ser-h1,23,0.964018559
16,WT_Ser-h1,24,1.244910316
16,WT_Ser-h1,25,1.24867203
16,NOS11_Ser-h1,26,0.92043375
16,NOS11_Ser-h1,27,1.021427909
16,NOS11_Ser-h1,28,1.006699432
16,NOS11_Ser-h1,29,1.088046036
16,NOS11_Ser-h1,30,1.003441821
16,NOS11_Ser-h1,31,0.974745787
16,NOS11_Ser-h1,32,1.010389482
16,NOS11_Ser-h1,33,1.073613529
16,NOS11_Ser-h1,34,0.992321339
16,NOS11_Ser-h1,35,0.982122634
16,NOS11_Ser-h1,36,1.047785548
16,NOS11_Ser-h1,37,1.053943452
16,NOS11_Ser-h1,38,0.963194032
16,NOS11_Ser-h1,39,0.950506835
17,WT_Ser-h1,2,0.976712892
17,WT_Ser-h1,3,0.993331206
17,WT_Ser-h1,4,1.027387279
17,WT_Ser-h1,5,0.993569793
17,WT_Ser-h1,6,1.119453763
17,WT_Ser-h1,7,0.991049016
17,WT_Ser-h1,8,0.804389448
17,WT_Ser-h1,9,0.821117767
17,WT_Ser-h1,10,1.37890699
17,WT_Ser-h1,11,1.494393222
17,WT_Ser-h1,12,1.475671434
17,WT_Ser-h1,13,0.987901806
17,WT_Ser-h1,14,0.78603737
17,WT_Ser-h1,15,0.780498819
17,WT_Ser-h1,16,0.978784274
17,WT_Ser-h1,17,0.635030013
17,WT_Ser-h1,18,0.996126007
17,WT_Ser-h1,19,0.832707658
17,WT_Ser-h1,20,0.77948892
17,WT_Ser-h1,21,1.073760322
17,WT_Ser-h1,22,1.07988829
17,WT_Ser-h1,23,0.978411135
17,WT_Ser-h1,24,1.231589169
17,WT_Ser-h1,25,1.234455356
17,NOS11_Ser-h1,26,0.91021517
17,NOS11_Ser-h1,27,0.994650753
17,NOS11_Ser-h1,28,1.00505203
17,NOS11_Ser-h1,29,1.113870227
17,NOS11_Ser-h1,30,1.027474186
17,NOS11_Ser-h1,31,0.99894973
17,NOS11_Ser-h1,32,1.027965022
17,NOS11_Ser-h1,33,1.064482893
17,NOS11_Ser-h1,34,0.984781283
17,NOS11_Ser-h1,35,0.972118859
17,NOS11_Ser-h1,36,1.05027195
17,NOS11_Ser-h1,37,1.057353671
17,NOS11_Ser-h1,38,0.944850386
17,NOS11_Ser-h1,39,0.951752999
18,WT_Ser-h1,2,0.97753523
18,WT_Ser-h1,3,0.99696873
18,WT_Ser-h1,4,1.01157209
18,WT_Ser-h1,5,1.011471488
18,WT_Ser-h1,6,1.140056622
18,WT_Ser-h1,7,1.008290395
18,WT_Ser-h1,8,0.824209332
18,WT_Ser-h1,9,0.830046338
18,WT_Ser-h1,10,1.456004925
