frame,morphant,sample,intensity
7,NIT2-MO2,30,1.0584288
7,NIT2-MO2,31,1.1564464
7,NIT2-MO2,32,1.160235
7,NIT2-MO2,33,0.9160593
7,NIT2-MO2,34,0.816719
7,NIT2-MO2,35,0.9141293
7,NIT2-MO2,36,0.9900127
7,NIT2-MO2,37,1.0272455
7,NIT2-MO2,38,0.9951388
7,NIT2-MO2,39,1.0392019
7,NIT2-MO2,40,1.0529402
7,NIT2-MO2,41,0.9449634
7,NIT2-MO2,42,1.0505548
7,NIT2-MO2,43,1.0142826
7,NIT2-MO2,44,1.0880607
7,NIT2-MO2,45,1.1044157
7,NIT2-MO2,46,1.031514
7,NIT2-MO2,47,1.1308526
7,NIT2-MO2,48,1.1378908
7,NIT2-MO2,49,1.0602529
7,NIT2-MO2,50,1.0426085
7,NIT2-MO2,51,1.0011111
7,NIT2-MO2,52,1.0247316
7,NIT2-MO2,53,1.0211815
7,NIT2-MO2,54,0.9529218
8,NIT2-MO1,2,1.0453838
8,NIT2-MO1,3,1.0148695
8,NIT2-MO1,4,1.0376994
8,NIT2-MO1,5,1.0289747
8,NIT2-MO1,6,1.0781324
8,NIT2-MO1,7,0.9686777
8,NIT2-MO1,8,1.0351324
8,NIT2-MO1,9,1.014369
8,NIT2-MO1,10,0.9941589
8,NIT2-MO1,11,1.014219
8,NIT2-MO1,12,1.0147982
8,NIT2-MO1,13,1.0196626
8,NIT2-MO1,14,1.0535338
8,NIT2-MO1,15,1.0338277
8,NIT2-MO1,16,1.0059188
8,NIT2-MO1,17,1.0579368
8,NIT2-MO1,18,1.0193799
8,NIT2-MO1,19,1.0517017
8,NIT2-MO1,20,1.0296586
8,NIT2-MO1,21,1.0291321
8,NIT2-MO1,22,1.077609
8,NIT2-MO2,23,1.0242357
8,NIT2-MO2,24,1.0771643
8,NIT2-MO2,25,0.9327814
8,NIT2-MO2,26,0.978798
8,NIT2-MO2,27,0.9618611
8,NIT2-MO2,28,1.0184083
8,NIT2-MO2,29,1.1568692
8,NIT2-MO2,30,1.0787338
8,NIT2-MO2,31,1.1536198
8,NIT2-MO2,32,1.1623487
8,NIT2-MO2,33,0.9229195
8,NIT2-MO2,34,0.8390365
8,NIT2-MO2,35,0.9463398
8,NIT2-MO2,36,1.0007155
8,NIT2-MO2,37,1.0308753
