frame,MO,sample,intensity
13,NIT2MO1_RGW,10,0.989206034
13,NIT2MO1_RGW,11,0.973808249
13,NIT2MO1_RGW,12,0.987592773
13,NIT2MO1_RGW,13,1.01713134
13,NIT2MO1_RGW,14,1.003587291
13,NIT2MO2_RGW,15,1.06697586
13,NIT2MO2_RGW,16,0.98403465
13,NIT2MO2_RGW,17,0.75718713
13,NIT2MO2_RGW,18,0.95263911
13,NIT2MO2_RGW,19,0.97573351
13,NIT2MO2_RGW,20,1.01400117
13,NIT2MO2_RGW,21,1.07257459
13,NIT2MO2_RGW,22,0.95
13,NIT2MO2_RGW,23,0.86203998
13,NIT2MO2_RGW,24,1.02019905
13,NIT2MO2_RGW,25,1.08024775
13,NIT2MO2_RGW,26,0.85297643
14,NIT2MO1_RGW,2,1.014316418
14,NIT2MO1_RGW,3,0.943967239
14,NIT2MO1_RGW,4,0.79540346
14,NIT2MO1_RGW,5,1.016385694
14,NIT2MO1_RGW,6,1.003485089
14,NIT2MO1_RGW,7,0.924525969
14,NIT2MO1_RGW,8,0.943057574
14,NIT2MO1_RGW,9,1.079534075
14,NIT2MO1_RGW,10,0.979992774
14,NIT2MO1_RGW,11,0.958168184
14,NIT2MO1_RGW,12,1.013231876
14,NIT2MO1_RGW,13,1.02801478
14,NIT2MO1_RGW,14,0.980355313
14,NIT2MO2_RGW,15,1.07072705
14,NIT2MO2_RGW,16,0.98301558
14,NIT2MO2_RGW,17,0.74789015
14,NIT2MO2_RGW,18,0.95440563
14,NIT2MO2_RGW,19,1.01973407
14,NIT2MO2_RGW,20,1.00600696
14,NIT2MO2_RGW,21,1.04369495
14,NIT2MO2_RGW,22,1.00987144
14,NIT2MO2_RGW,23,0.88255323
14,NIT2MO2_RGW,24,1.05011483
14,NIT2MO2_RGW,25,1.04780958
14,NIT2MO2_RGW,26,0.85446555
15,NIT2MO1_RGW,2,1.012239991
15,NIT2MO1_RGW,3,0.921294447
15,NIT2MO1_RGW,4,0.791943427
15,NIT2MO1_RGW,5,1.004411533
15,NIT2MO1_RGW,6,0.998897124
15,NIT2MO1_RGW,7,0.974402308
15,NIT2MO1_RGW,8,0.944511155
15,NIT2MO1_RGW,9,1.054972856
15,NIT2MO1_RGW,10,0.987264023
15,NIT2MO1_RGW,11,0.967755758
15,NIT2MO1_RGW,12,1.005585126
15,NIT2MO1_RGW,13,1.007927444
15,NIT2MO1_RGW,14,0.988270129
15,NIT2MO2_RGW,15,1.07638794
15,NIT2MO2_RGW,16,0.9765615
15,NIT2MO2_RGW,17,0.74348529
15,NIT2MO2_RGW,18,0.93369476
15,NIT2MO2_RGW,19,1.00834286
15,NIT2MO2_RGW,20,0.9925026
15,NIT2MO2_RGW,21,1.04116884
15,NIT2MO2_RGW,22,0.96822773
15,NIT2MO2_RGW,23,0.87124572
15,NIT2MO2_RGW,24,1.00700783
15,NIT2MO2_RGW,25,1.02222072
15,NIT2MO2_RGW,26,0.82904151
16,NIT2MO1_RGW,2,1.032494263
16,NIT2MO1_RGW,3,0.926787855
16,NIT2MO1_RGW,4,0.796262154
16,NIT2MO1_RGW,5,1.020429599
16,NIT2MO1_RGW,6,1.017513676
16,NIT2MO1_RGW,7,0.938334707
16,NIT2MO1_RGW,8,0.947544713
16,NIT2MO1_RGW,9,1.055130976
16,NIT2MO1_RGW,10,0.979089513
16,NIT2MO1_RGW,11,0.977932512
16,NIT2MO1_RGW,12,0.995539396
16,NIT2MO1_RGW,13,0.988915015
16,NIT2MO1_RGW,14,1.003587291
16,NIT2MO2_RGW,15,1.07413723
16,NIT2MO2_RGW,16,1.00598701
16,NIT2MO2_RGW,17,0.7340129
16,NIT2MO2_RGW,18,0.97877136
16,NIT2MO2_RGW,19,0.99145659
16,NIT2MO2_RGW,20,0.9866763
16,NIT2MO2_RGW,21,1.06970711
16,NIT2MO2_RGW,22,1.00991736
16,NIT2MO2_RGW,23,0.86494041
16,NIT2MO2_RGW,24,1.01746069
16,NIT2MO2_RGW,25,1.02326055
16,NIT2MO2_RGW,26,0.81138997
17,NIT2MO1_RGW,2,1.035226403
17,NIT2MO1_RGW,3,0.911755893
17,NIT2MO1_RGW,4,0.775906049
17,NIT2MO1_RGW,5,1.023633213
17,NIT2MO1_RGW,6,1.022631022
17,NIT2MO1_RGW,7,0.946826051
17,NIT2MO1_RGW,8,0.92871137
17,NIT2MO1_RGW,9,1.073051178
17,NIT2MO1_RGW,10,0.978999187
17,NIT2MO1_RGW,11,0.968773433
17,NIT2MO1_RGW,12,1.018629582
17,NIT2MO1_RGW,13,1.025529056
17,NIT2MO1_RGW,14,0.992768477
17,NIT2MO2_RGW,15,1.06745328
17,NIT2MO2_RGW,16,0.9984714
17,NIT2MO2_RGW,17,0.73726782
17,NIT2MO2_RGW,18,0.90546097
17,NIT2MO2_RGW,19,0.99590879
17,NIT2MO2_RGW,20,1.0275507
17,NIT2MO2_RGW,21,1.00088755
17,NIT2MO2_RGW,22,1.03879706
17,NIT2MO2_RGW,23,0.8753862
17,NIT2MO2_RGW,24,1.02464519
17,NIT2MO2_RGW,25,1.03135314
17,NIT2MO2_RGW,26,0.80191043
18,NIT2MO1_RGW,2,1.039051401
