genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID08,111.6844452,281.6539662,-281.6539662,11.3447066,11.3378951,224,dark
NOS,ID08,111.5060121,281.511287,-281.511287,11.1662735,11.4805743,225,dark
NOS,ID08,111.4137862,281.4101166,-281.4101166,11.0740476,11.5817447,226,dark
NOS,ID08,111.2019225,281.1842471,-281.1842471,10.8621839,11.8076142,227,dark
NOS,ID08,111.245285,281.1343022,-281.1343022,10.9055464,11.8575591,228,dark
NOS,ID08,111.0412665,280.9791521,-280.9791521,10.7015279,12.0127092,229,dark
NOS,ID08,110.8730219,280.8372362,-280.8372362,10.5332833,12.1546251,230,dark
NOS,ID08,110.6962222,280.5921576,-280.5921576,10.3564836,12.3997037,231,dark
NOS,ID08,110.5742891,280.6611438,-280.6611438,10.2345505,12.3307175,232,dark
NOS,ID08,110.46821,280.5309716,-280.5309716,10.1284714,12.4608897,233,dark
NOS,ID08,110.3549421,280.309665,-280.309665,10.0152035,12.6821963,234,dark
NOS,ID08,110.2781327,280.3645829,-280.3645829,9.9383941,12.6272784,235,dark
NOS,ID08,110.1278364,280.3106924,-280.3106924,9.7880978,12.6811689,236,dark
NOS,ID08,109.9981576,280.1495537,-280.1495537,9.658419,12.8423076,237,dark
NOS,ID08,109.8263337,280.1439494,-280.1439494,9.4865951,12.8479119,238,dark
NOS,ID08,109.6911188,279.9587647,-279.9587647,9.3513802,13.0330966,239,dark
NOS,ID08,109.7113581,279.8444214,-279.8444214,9.3716195,13.1474399,240,dark
NOS,ID08,109.5160137,279.9104616,-279.9104616,9.1762751,13.0813997,241,dark
NOS,ID08,109.4568464,279.6829341,-279.6829341,9.1171078,13.3089272,242,dark
NOS,ID08,109.4112956,279.7286628,-279.7286628,9.071557,13.2631985,243,dark
NOS,ID08,109.5059076,279.6906761,-279.6906761,9.166169,13.3011852,244,dark
NOS,ID08,109.3640002,279.6468471,-279.6468471,9.0242616,13.3450142,245,dark
NOS,ID08,109.2699504,279.5724317,-279.5724317,8.9302118,13.4194296,246,dark
NOS,ID08,109.2662194,279.4425445,-279.4425445,8.9264808,13.5493168,247,dark
NOS,ID08,109.1625568,279.4590372,-279.4590372,8.8228182,13.5328241,248,dark
